,Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
502,5286,C,AKPA AKPRO,Lazio,6,5.33,5.25,0,0,0,0,0,0,0,1,0,0
503,5287,C,ARSLAN,Udinese,29,6.02,5.97,1,0,0,0,0,0,0,9,0,0
504,5292,A,LAMMERS,Atalanta,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
505,5298,C,POBEGA,Torino,31,6.26,6.5,4,0,0,0,0,0,1,11,0,0
506,5300,D,HICKEY,Bologna,36,5.83,6.18,5,0,0,0,0,0,1,7,0,0
507,5304,P,BOER,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
508,5306,P,ALIA,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
509,5310,A,HAUGE,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
510,5311,A,SHOMURODOV,Roma,20,6.1,6.72,3,0,0,0,0,0,4,2,0,0
511,5312,C,LEO' SENA,Spezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
512,5316,D,AMIONE,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
513,5322,A,MIHAILA,Atalanta,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0
514,5323,D,MARTINEZ QUARTA,Fiorentina,18,5.81,5.75,1,0,0,0,0,0,0,8,0,0
515,5329,C,MAKENGO,Udinese,33,5.91,5.98,1,0,0,0,0,0,3,5,1,0
516,5332,D,BASTONI S.,Spezia,29,6.12,6.41,3,0,0,0,0,0,3,5,1,0
517,5333,P,GASPARINI,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
518,5336,A,NZOLA,Spezia,16,5.88,6.28,2,0,0,0,0,0,1,2,0,0
519,5346,C,ROJAS,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
520,5354,D,RUGGERI,Salernitana,13,5.85,5.81,0,0,0,0,0,0,0,1,0,0
521,5355,D,UDOGIE,Udinese,34,6.0,6.47,5,0,0,0,0,0,3,4,0,0
522,5360,A,VERGANI,Salernitana,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
523,5365,D,DRAGUSIN,Salernitana,18,5.72,5.67,0,0,0,0,0,0,0,2,0,0
524,5375,D,MAEHLE,Atalanta,23,5.83,5.96,1,0,0,0,0,0,1,2,0,0
525,5378,A,ODDEI,Sassuolo,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
526,5391,A,KOKORIN,Fiorentina,2,6.0,6.0,0,0,0,0,0,0,0,1,0,0
527,5397,C,KOVALENKO,Spezia,22,5.86,6.07,1,0,0,0,0,0,3,4,0,0
528,5398,D,REYNOLDS,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
529,5420,C,DARBOE,Roma,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
530,5422,C,ZALEWSKI,Roma,13,5.85,5.81,0,0,0,0,0,0,0,1,0,0
531,5423,C,BOVE,Roma,2,6.5,8.0,1,0,0,0,0,0,0,0,0,0
532,5424,D,AMEY,Bologna,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
533,5425,C,URBANSKI,Bologna,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
534,5436,A,RAIMONDO,Bologna,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
535,5439,A,KALLON,Genoa,13,5.88,5.85,0,0,0,0,0,0,1,3,0,0
536,5444,C,CORTINOVIS,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
537,5445,D,BINKS,Bologna,11,5.91,5.77,0,0,0,0,0,0,0,3,0,0
538,5446,A,VAN HOOIJDONK,Bologna,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0
539,5447,D,ALTARE,Cagliari,19,5.97,6.0,1,0,0,0,0,0,0,5,0,0
540,5448,P,FURLAN,Empoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
541,5449,D,PARISI,Empoli,23,5.91,5.85,0,0,0,0,0,0,1,5,0,0
542,5450,D,STOJANOVIC,Empoli,33,5.83,5.79,1,0,0,0,0,0,1,9,1,0
543,5451,C,BAJRAMI,Empoli,34,6.25,6.88,3,0,0,3,3,0,5,3,0,0
544,5452,C,DAMIANI,Empoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
545,5453,C,RICCI S.,Torino,30,5.88,5.95,1,0,0,0,0,0,1,2,1,0
546,5454,A,MANCUSO,Empoli,7,5.86,6.29,1,0,0,0,0,0,0,0,0,0
547,5455,A,MOREO,Empoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
548,5456,D,FERRARINI,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
549,5457,C,MALEH,Fiorentina,23,6.07,6.26,2,0,0,0,0,0,1,5,0,0
550,5458,A,MUNTEANU,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
551,5459,A,BUKSA,Genoa,1,5.0,5.0,0,0,0,0,0,0,0,0,0,0
552,5460,A,SATRIANO,Inter,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0
553,5461,D,KAMENOVIC,Lazio,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
554,5462,C,CIERVO,Sassuolo,7,6.0,6.14,0,0,0,0,0,0,1,0,0,0
555,5463,D,AYA,Salernitana,2,5.0,4.75,0,0,0,0,0,0,0,1,0,0
556,5464,D,BOGDAN,Salernitana,6,5.25,5.25,0,0,0,0,0,0,0,0,0,0
557,5465,D,SY,Salernitana,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
558,5466,D,STRANDBERG,Salernitana,11,5.68,5.41,0,0,0,0,0,0,0,0,1,1
559,5467,C,BOULTAM,Salernitana,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
560,5468,C,CAVION,Salernitana,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
561,5469,C,DI TACCHIO,Salernitana,16,5.56,5.34,0,0,0,0,0,0,0,3,0,1
562,5470,C,SCHIAVONE,Salernitana,11,5.95,6.18,1,0,0,0,0,0,0,1,0,0
563,5471,A,DJURIC,Salernitana,32,6.05,6.55,4,0,0,1,1,0,4,6,0,0
564,5472,A,KRISTOFFERSEN,Salernitana,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
565,5473,D,KAIQUE ROCHA,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
566,5475,D,AMIAN,Spezia,32,5.72,5.67,1,0,0,0,0,0,1,7,2,0
567,5476,C,KORNVIG,Spezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
568,5477,A,WARMING,Torino,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0
569,5478,P,MAENPAA,Venezia,17,6.03,4.47,0,27,0,0,0,0,1,1,0,0
570,5479,D,CECCARONI,Venezia,35,5.8,5.87,2,0,0,0,0,0,1,7,1,0
571,5480,D,EBUEHI,Venezia,17,5.59,5.5,0,0,0,0,0,0,0,1,1,0
572,5481,D,MAZZOCCHI,Salernitana,32,5.84,5.83,0,0,0,0,0,0,2,5,0,0
573,5482,D,MODOLO,Venezia,5,6.0,5.8,0,0,0,0,0,0,0,2,0,0
574,5483,D,SCHNEGG,Venezia,3,5.67,5.67,0,0,0,0,0,0,0,1,0,0
575,5484,D,SVOBODA,Venezia,18,5.53,5.42,0,0,0,0,0,0,0,2,1,0
576,5485,C,BJARKASON,Venezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
577,5486,C,CRNIGOJ,Venezia,32,5.97,6.23,3,0,0,0,0,0,1,3,0,0
578,5487,C,HEYMANS,Venezia,6,5.83,5.67,0,0,0,0,0,0,1,4,0,0
579,5488,C,FIORDILINO,Venezia,13,5.85,5.77,0,0,0,0,0,0,0,2,0,0
580,5489,C,PECILE,Venezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
581,5490,C,PERETZ,Venezia,15,5.9,5.93,0,0,0,0,0,0,1,2,0,0
582,5491,C,TAUGOURDEAU,Venezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
583,5492,C,TESSMANN,Venezia,17,5.65,5.56,0,0,0,0,0,0,0,1,1,0
584,5493,A,BOCALON,Venezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
585,5494,A,DI MARIANO,Venezia,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
586,5495,A,FORTE,Venezia,7,5.86,6.14,1,0,0,0,0,0,0,3,0,0
587,5496,A,JOHNSEN,Venezia,25,5.9,6.06,1,0,0,0,0,0,2,2,0,0
588,5498,D,CASALE,Verona,34,5.85,5.75,0,0,0,0,0,0,1,10,0,0
